"x","y","z","bhd"
107.61,15.781,7.02,30.6
94.573,-61.466,-1.192,30.6
81.258,-15.57,3.358,30.5
11.604,46.396,-2.885,30.4
76.75,-37.357,1.429,30.4
20.751,62.055,-1.727,30.4
16.137,-10.009,-1.289,30.4
60.27,-37.488,-0.157,30.3
53.452,26.778,1.245,30.3
154.311,-8.187,5.579,30.1
77.561,6.589,3.007,30
33.336,-13.698,-0.994,29.9
49.733,-30.58,-0.253,29.9
101.793,-49.537,0.925,29.8
123.572,-17.883,4.229,29.7
61.265,11.833,1.308,29.7
137.743,-43.777,1.963,29.7
61.103,-20.025,1.641,29.6
85.685,-31.331,2.995,29.5
86.252,-48.125,0.477,29.5
141.988,-20.22,4.299,29.5
133.668,-31.309,3.244,29.4
36.153,-5.321,-0.683,29.4
27.628,43.248,-0.0370000000000001,29.4
132.744,-37.236,2.682,29.4
40.882,9.712,-0.408,29.4
65.352,-23.96,1.971,29.3
101.167,-30.271,2.741,29.3
-3.081,62.034,-6.751,29.3
26.292,67.13,-1.602,29.2
98.747,-50.768,0.668,29.2
88.7,-2.076,4.036,29.2
22.614,-13.105,-1.21,29.2
29.926,47.447,0.437,29.2
-7.908,62.377,-7.809,29.2
91.626,-1.913,4.537,29.1
11.723,19.518,-3.288,29.1
2.712,76.055,-6.933,29.1
64.334,7.772,1.583,29
121.93,-43.655,1.645,29
55.596,12.886,0.797,29
36.95,9.149,-0.682,29
79.966,-8.464,3.051,29
9.072,68.266,-4.32,29
96.204,-26.264,3.12,28.9
1.095,-8.062,-1.687,28.9
41.25,42.287,1.779,28.8
76.568,-11.589,3.082,28.8
55.01,23.818,1.102,28.8
31.808,-17.876,-1.258,28.8
73.025,22.838,3.385,28.8
105.509,-7.585,5.073,28.8
28.887,-23.378,-1.755,28.7
54.115,-21.471,0.85,28.7
95.54,-10.109,4.17,28.7
52.384,-23.703,0.543,28.7
114.635,-60.743,-0.192,28.6
34.213,13.357,-0.952,28.5
21.19,48.156,-1.063,28.4
85.765,-3.41,3.694,28.4
136.113,-39.45,2.37,28.4
69.796,-37.214,0.826,28.4
116.539,-24.378,3.488,28.4
109.097,-28.885,2.978,28.4
69.616,30.205,3.572,28.3
73.888,-39.161,0.867,28.3
162.076,-21.86,4.511,28.3
28.259,-9.927,-1.147,28.2
50.062,29.993,1.179,28.2
